MLM_envGWAS_N,MLM_envGWAS_NHx,FarmCPU_envGWAS_N,FarmCPU_envGWAS_NHx,Fst_N_maize,Fst_NHx_maize,MLM_envGWAS_N_sorghum,MLM_envGWAS_NHx_sorghum,FarmCPU_envGWAS_N_sorghum,FarmCPU_envGWAS_NHx_sorghum,Fst_N_Sorghum,Fst_NHx_sorghum,Fst_IndianChief,Fst_Jarvis,TajimaD_Jarvis,TajimaD_IndianChief
Zm00001eb222720,Zm00001eb144430,Zm00001eb322610,Zm00001eb338710,Zm00001eb200470,Zm00001eb104350,Zm00001eb019540,Zm00001eb358510,Zm00001eb388110,Zm00001eb290570,,,Zm00001eb256990,Zm00001eb043440,Zm00001eb239580,Zm00001eb229500
Zm00001eb222730,Zm00001eb144440,Zm00001eb300770,Zm00001eb338720,Zm00001eb045880,Zm00001eb104360,Zm00001eb289820,Zm00001eb241170,Zm00001eb019550,Zm00001eb143770,,,Zm00001eb162370,Zm00001eb043450,Zm00001eb079850,Zm00001eb229510
Zm00001eb222740,Zm00001eb144450,Zm00001eb300780,Zm00001eb338730,Zm00001eb045890,Zm00001eb104370,Zm00001eb125460,Zm00001eb029930,Zm00001eb235400,Zm00001eb057820,,,Zm00001eb162380,Zm00001eb043460,Zm00001eb079860,Zm00001eb229520
Zm00001eb050060,Zm00001eb371630,Zm00001eb300790,Zm00001eb251620,Zm00001eb045900,Zm00001eb104380,Zm00001eb314260,Zm00001eb375220,Zm00001eb398440,Zm00001eb349260,,,Zm00001eb162390,Zm00001eb089940,Zm00001eb383290,Zm00001eb229530
Zm00001eb050070,Zm00001eb371640,Zm00001eb303710,Zm00001eb251630,Zm00001eb228550,Zm00001eb343700,Zm00001eb173610,Zm00001eb362720,Zm00001eb363740,Zm00001eb378970,,,Zm00001eb369740,Zm00001eb089950,Zm00001eb078030,Zm00001eb229540
Zm00001eb050080,Zm00001eb371650,Zm00001eb303720,Zm00001eb159950,Zm00001eb228560,Zm00001eb343710,Zm00001eb373300,Zm00001eb189430,Zm00001eb050500,Zm00001eb076080,,,Zm00001eb369750,Zm00001eb304920,Zm00001eb078040,Zm00001eb139920
Zm00001eb050090,Zm00001eb298350,Zm00001eb303730,Zm00001eb159960,Zm00001eb381040,Zm00001eb042980,Zm00001eb363420,Zm00001eb358010,Zm00001eb169450,Zm00001eb019060,,,Zm00001eb369760,Zm00001eb304930,Zm00001eb337200,Zm00001eb139930
Zm00001eb050100,Zm00001eb298370,Zm00001eb362590,Zm00001eb159970,Zm00001eb221490,Zm00001eb181760,Zm00001eb070550,Zm00001eb320270,Zm00001eb327600,Zm00001eb010730,,,Zm00001eb369770,Zm00001eb304940,Zm00001eb377180,Zm00001eb139940
Zm00001eb050110,Zm00001eb298380,Zm00001eb362600,Zm00001eb372930,Zm00001eb140460,Zm00001eb181770,Zm00001eb179550,Zm00001eb258210,Zm00001eb076340,Zm00001eb406480,,,Zm00001eb369780,Zm00001eb304950,Zm00001eb377190,Zm00001eb139950
Zm00001eb380830,Zm00001eb298390,Zm00001eb362610,Zm00001eb372940,Zm00001eb140470,Zm00001eb181780,Zm00001eb420330,Zm00001eb218020,Zm00001eb147650,Zm00001eb122680,,,Zm00001eb369790,Zm00001eb304960,Zm00001eb377200,Zm00001eb200040
Zm00001eb380840,Zm00001eb298400,Zm00001eb362630,Zm00001eb201100,Zm00001eb140480,Zm00001eb181790,Zm00001eb147400,Zm00001eb358720,Zm00001eb020470,Zm00001eb260830,,,Zm00001eb369800,Zm00001eb222940,Zm00001eb234140,Zm00001eb140260
Zm00001eb151440,Zm00001eb298410,Zm00001eb362640,Zm00001eb258570,Zm00001eb140490,Zm00001eb024370,Zm00001eb079790,Zm00001eb309260,Zm00001eb287220,Zm00001eb296550,,,Zm00001eb369810,Zm00001eb222950,Zm00001eb234150,Zm00001eb086490
Zm00001eb151450,Zm00001eb298420,Zm00001eb362650,Zm00001eb258580,Zm00001eb140500,Zm00001eb048020,Zm00001eb057710,Zm00001eb413870,Zm00001eb347320,Zm00001eb104210,,,Zm00001eb369820,Zm00001eb222960,Zm00001eb131240,Zm00001eb274280
Zm00001eb151460,Zm00001eb298440,Zm00001eb362660,Zm00001eb258590,Zm00001eb250860,Zm00001eb048030,Zm00001eb145560,Zm00001eb440740,Zm00001eb282100,Zm00001eb220150,,,Zm00001eb369830,Zm00001eb005350,Zm00001eb228300,Zm00001eb274290
Zm00001eb301030,Zm00001eb350620,Zm00001eb180500,Zm00001eb258600,Zm00001eb250890,Zm00001eb048040,Zm00001eb018300,Zm00001eb381350,Zm00001eb267600,Zm00001eb379460,,,Zm00001eb369840,Zm00001eb005360,Zm00001eb228310,Zm00001eb274300
Zm00001eb301040,Zm00001eb050490,Zm00001eb180510,Zm00001eb258610,Zm00001eb415760,Zm00001eb048530,Zm00001eb070490,Zm00001eb212190,Zm00001eb366520,Zm00001eb228140,,,Zm00001eb369850,Zm00001eb005370,Zm00001eb228320,Zm00001eb201350
Zm00001eb301050,Zm00001eb050500,Zm00001eb180520,Zm00001eb258630,Zm00001eb415770,Zm00001eb048540,Zm00001eb100130,Zm00001eb223300,Zm00001eb346570,Zm00001eb374760,,,Zm00001eb131670,Zm00001eb023090,Zm00001eb297360,Zm00001eb281580
Zm00001eb301060,Zm00001eb050510,Zm00001eb270820,Zm00001eb258640,Zm00001eb415780,Zm00001eb379620,Zm00001eb230740,Zm00001eb013100,Zm00001eb139680,Zm00001eb320970,,,Zm00001eb131680,Zm00001eb023100,Zm00001eb297390,Zm00001eb281590
Zm00001eb103310,Zm00001eb050520,Zm00001eb270830,Zm00001eb258660,Zm00001eb239300,Zm00001eb379630,Zm00001eb014210,Zm00001eb104750,Zm00001eb283520,Zm00001eb125170,,,Zm00001eb176230,Zm00001eb023110,Zm00001eb133430,Zm00001eb236610
Zm00001eb103320,Zm00001eb050530,Zm00001eb270840,Zm00001eb231700,Zm00001eb184280,Zm00001eb388760,Zm00001eb062070,Zm00001eb122700,Zm00001eb365050,Zm00001eb394440,,,Zm00001eb176240,Zm00001eb016680,Zm00001eb243580,Zm00001eb192920
Zm00001eb103330,Zm00001eb050550,Zm00001eb270850,Zm00001eb231720,Zm00001eb131840,Zm00001eb388770,Zm00001eb313980,Zm00001eb212060,Zm00001eb173410,Zm00001eb268800,,,Zm00001eb176250,Zm00001eb016690,Zm00001eb243590,Zm00001eb192930
Zm00001eb103340,Zm00001eb069140,Zm00001eb378930,Zm00001eb231730,Zm00001eb192800,Zm00001eb086060,Zm00001eb017950,Zm00001eb342240,Zm00001eb072600,Zm00001eb143290,,,Zm00001eb176260,Zm00001eb422670,Zm00001eb131210,Zm00001eb079170
Zm00001eb265850,Zm00001eb069150,Zm00001eb414360,Zm00001eb345560,Zm00001eb192810,Zm00001eb086070,Zm00001eb373320,Zm00001eb232800,Zm00001eb113920,Zm00001eb150950,,,Zm00001eb176270,Zm00001eb422680,Zm00001eb379690,Zm00001eb079180
Zm00001eb265870,Zm00001eb071120,Zm00001eb323690,Zm00001eb345570,Zm00001eb192820,Zm00001eb086090,Zm00001eb385340,Zm00001eb159490,Zm00001eb301290,Zm00001eb385840,,,Zm00001eb176280,Zm00001eb422690,Zm00001eb076960,Zm00001eb079190
Zm00001eb265880,Zm00001eb071130,Zm00001eb323700,Zm00001eb345580,Zm00001eb385610,Zm00001eb086100,Zm00001eb398860,Zm00001eb310140,Zm00001eb015070,Zm00001eb413940,,,Zm00001eb176290,Zm00001eb422700,Zm00001eb182690,Zm00001eb181000
Zm00001eb265890,Zm00001eb071140,Zm00001eb323710,Zm00001eb345600,Zm00001eb262880,Zm00001eb235490,Zm00001eb151300,Zm00001eb075490,Zm00001eb217180,Zm00001eb256500,,,Zm00001eb176300,Zm00001eb422720,Zm00001eb182700,Zm00001eb149130
Zm00001eb271030,Zm00001eb071150,Zm00001eb323730,Zm00001eb345610,Zm00001eb262890,Zm00001eb235510,Zm00001eb155840,Zm00001eb366220,Zm00001eb271260,Zm00001eb162060,,,Zm00001eb176310,Zm00001eb094570,Zm00001eb126470,Zm00001eb149150
Zm00001eb271040,Zm00001eb148390,Zm00001eb342070,Zm00001eb112080,Zm00001eb262900,Zm00001eb132630,Zm00001eb396480,Zm00001eb192050,Zm00001eb231510,Zm00001eb025630,,,Zm00001eb055230,Zm00001eb129090,Zm00001eb091830,Zm00001eb149160
Zm00001eb271050,Zm00001eb172030,Zm00001eb366080,Zm00001eb112090,Zm00001eb262910,Zm00001eb086260,Zm00001eb075500,Zm00001eb189180,Zm00001eb223200,Zm00001eb258470,,,Zm00001eb055250,Zm00001eb129100,Zm00001eb091840,Zm00001eb149170
Zm00001eb375450,Zm00001eb172040,Zm00001eb366090,Zm00001eb112100,Zm00001eb262920,Zm00001eb086270,Zm00001eb363370,Zm00001eb140590,Zm00001eb191650,Zm00001eb296920,,,Zm00001eb055260,Zm00001eb129110,Zm00001eb086370,Zm00001eb149180
Zm00001eb289550,Zm00001eb401250,Zm00001eb366110,Zm00001eb073810,Zm00001eb262930,Zm00001eb086280,Zm00001eb013890,Zm00001eb223620,Zm00001eb259000,Zm00001eb378870,,,Zm00001eb055280,Zm00001eb128590,Zm00001eb422450,Zm00001eb149190
Zm00001eb289560,Zm00001eb401260,Zm00001eb366130,Zm00001eb414020,Zm00001eb227280,Zm00001eb136190,Zm00001eb413860,Zm00001eb376050,Zm00001eb424460,Zm00001eb075380,,,Zm00001eb175430,Zm00001eb128600,Zm00001eb408590,Zm00001eb229630
Zm00001eb289570,Zm00001eb073390,Zm00001eb405660,Zm00001eb255590,Zm00001eb227290,Zm00001eb136200,Zm00001eb151480,Zm00001eb214180,Zm00001eb214420,Zm00001eb157960,,,Zm00001eb090320,Zm00001eb128610,Zm00001eb408600,Zm00001eb229640
Zm00001eb289580,Zm00001eb073400,Zm00001eb405670,Zm00001eb255600,Zm00001eb028400,Zm00001eb234940,Zm00001eb307330,Zm00001eb340410,Zm00001eb219910,Zm00001eb427780,,,Zm00001eb411040,Zm00001eb128620,Zm00001eb076910,Zm00001eb229650
Zm00001eb289590,Zm00001eb322130,Zm00001eb198870,Zm00001eb255610,Zm00001eb028410,Zm00001eb234950,Zm00001eb075530,Zm00001eb324170,Zm00001eb249610,Zm00001eb175990,,,Zm00001eb411050,Zm00001eb128630,Zm00001eb076920,Zm00001eb229660
Zm00001eb289600,Zm00001eb097890,Zm00001eb097800,Zm00001eb255620,Zm00001eb224360,Zm00001eb133500,Zm00001eb208590,Zm00001eb393820,Zm00001eb119840,Zm00001eb210700,,,Zm00001eb297610,Zm00001eb128640,Zm00001eb076930,Zm00001eb229670
Zm00001eb289610,Zm00001eb107500,Zm00001eb097820,Zm00001eb136180,Zm00001eb225000,Zm00001eb133510,Zm00001eb212270,Zm00001eb118910,Zm00001eb387780,Zm00001eb182930,,,Zm00001eb297620,Zm00001eb230720,Zm00001eb247760,Zm00001eb175400
Zm00001eb289620,Zm00001eb421120,Zm00001eb212640,Zm00001eb002310,Zm00001eb105310,Zm00001eb133520,Zm00001eb017960,Zm00001eb212130,Zm00001eb040730,Zm00001eb344850,,,Zm00001eb297630,Zm00001eb230730,Zm00001eb048940,Zm00001eb168450
Zm00001eb119770,Zm00001eb421130,Zm00001eb212650,Zm00001eb002320,Zm00001eb013220,Zm00001eb133530,Zm00001eb366040,Zm00001eb159040,Zm00001eb384340,Zm00001eb228300,,,Zm00001eb297640,Zm00001eb074310,Zm00001eb048950,Zm00001eb168470
Zm00001eb256250,Zm00001eb221090,Zm00001eb212660,Zm00001eb002330,Zm00001eb013230,Zm00001eb385210,Zm00001eb062210,Zm00001eb264350,Zm00001eb251620,Zm00001eb141160,,,Zm00001eb067280,Zm00001eb074320,Zm00001eb056350,Zm00001eb168480
Zm00001eb256260,Zm00001eb357290,Zm00001eb212670,Zm00001eb002340,Zm00001eb156620,Zm00001eb136250,Zm00001eb220390,Zm00001eb252850,Zm00001eb141950,Zm00001eb162950,,,Zm00001eb067290,Zm00001eb133680,Zm00001eb056360,Zm00001eb168490
Zm00001eb256270,Zm00001eb357300,Zm00001eb212680,Zm00001eb002350,Zm00001eb156630,Zm00001eb340320,Zm00001eb369820,Zm00001eb339390,Zm00001eb348570,Zm00001eb181710,,,Zm00001eb067310,Zm00001eb127760,Zm00001eb265890,Zm00001eb176000
Zm00001eb256280,Zm00001eb357310,Zm00001eb212690,Zm00001eb002360,Zm00001eb156640,Zm00001eb014600,Zm00001eb018090,Zm00001eb099070,Zm00001eb046530,Zm00001eb387810,,,Zm00001eb067320,Zm00001eb127770,Zm00001eb265920,Zm00001eb416630
Zm00001eb256290,Zm00001eb225460,Zm00001eb212700,Zm00001eb002370,Zm00001eb156650,Zm00001eb014610,Zm00001eb289800,Zm00001eb018730,Zm00001eb367310,Zm00001eb061960,,,Zm00001eb067330,Zm00001eb127780,Zm00001eb154120,Zm00001eb272710
Zm00001eb256300,Zm00001eb225470,Zm00001eb143110,Zm00001eb388200,Zm00001eb156660,Zm00001eb014620,Zm00001eb269700,Zm00001eb252880,Zm00001eb193040,Zm00001eb442120,,,Zm00001eb067340,Zm00001eb164900,Zm00001eb134530,Zm00001eb272720
Zm00001eb256310,Zm00001eb225480,Zm00001eb420800,Zm00001eb388210,Zm00001eb156670,Zm00001eb014630,Zm00001eb013860,Zm00001eb018660,Zm00001eb141900,Zm00001eb161890,,,Zm00001eb067350,Zm00001eb164910,Zm00001eb362180,Zm00001eb272730
Zm00001eb058850,Zm00001eb108850,Zm00001eb420810,Zm00001eb322360,Zm00001eb156680,Zm00001eb198350,Zm00001eb057740,Zm00001eb258240,Zm00001eb195490,Zm00001eb254960,,,Zm00001eb067360,Zm00001eb136370,Zm00001eb362190,Zm00001eb149990
Zm00001eb058860,Zm00001eb108870,Zm00001eb420820,Zm00001eb203780,Zm00001eb156690,Zm00001eb310000,Zm00001eb097830,Zm00001eb324710,Zm00001eb045210,Zm00001eb421370,,,Zm00001eb060560,Zm00001eb136380,Zm00001eb362200,Zm00001eb150000
Zm00001eb058870,Zm00001eb108880,Zm00001eb420830,Zm00001eb203790,Zm00001eb235490,Zm00001eb310010,Zm00001eb214580,Zm00001eb145510,Zm00001eb318770,Zm00001eb385060,,,Zm00001eb060570,Zm00001eb325800,Zm00001eb362210,Zm00001eb175100
Zm00001eb129680,Zm00001eb108890,Zm00001eb427480,Zm00001eb203800,Zm00001eb235510,Zm00001eb173360,Zm00001eb290190,Zm00001eb276300,Zm00001eb210730,Zm00001eb286710,,,Zm00001eb060580,Zm00001eb325810,Zm00001eb362220,Zm00001eb176340
Zm00001eb057030,Zm00001eb234330,Zm00001eb427500,Zm00001eb005500,Zm00001eb046660,Zm00001eb173380,Zm00001eb414410,Zm00001eb358500,Zm00001eb286830,Zm00001eb280420,,,Zm00001eb040690,Zm00001eb325820,Zm00001eb362230,Zm00001eb157580
Zm00001eb057040,Zm00001eb234340,Zm00001eb427510,Zm00001eb005510,Zm00001eb046670,Zm00001eb192980,Zm00001eb373120,Zm00001eb178980,Zm00001eb204980,Zm00001eb340080,,,Zm00001eb040700,Zm00001eb391540,Zm00001eb362240,Zm00001eb157590
Zm00001eb057050,Zm00001eb041790,Zm00001eb427520,Zm00001eb005530,Zm00001eb046680,Zm00001eb192990,Zm00001eb413870,Zm00001eb108820,Zm00001eb270380,Zm00001eb379260,,,Zm00001eb040710,Zm00001eb391550,Zm00001eb362250,Zm00001eb157600
Zm00001eb057060,Zm00001eb161120,Zm00001eb427540,Zm00001eb142050,Zm00001eb194370,Zm00001eb193000,Zm00001eb440740,Zm00001eb378880,Zm00001eb323920,Zm00001eb410120,,,Zm00001eb040720,Zm00001eb391570,Zm00001eb340820,Zm00001eb221290
Zm00001eb034240,Zm00001eb363100,Zm00001eb427550,Zm00001eb142060,Zm00001eb180170,Zm00001eb028060,Zm00001eb387030,Zm00001eb122690,Zm00001eb213980,Zm00001eb076570,,,Zm00001eb040730,Zm00001eb391580,Zm00001eb383520,Zm00001eb221300
Zm00001eb034250,Zm00001eb199100,Zm00001eb427560,Zm00001eb142070,Zm00001eb180180,Zm00001eb028070,Zm00001eb070520,Zm00001eb058570,Zm00001eb423420,Zm00001eb071810,,,Zm00001eb040740,Zm00001eb218020,Zm00001eb205310,Zm00001eb221310
Zm00001eb034260,Zm00001eb199110,Zm00001eb079000,Zm00001eb208130,Zm00001eb180190,Zm00001eb028080,Zm00001eb212190,Zm00001eb052590,Zm00001eb413300,Zm00001eb440700,,,Zm00001eb411100,Zm00001eb218030,Zm00001eb205330,Zm00001eb221320
Zm00001eb034280,Zm00001eb269110,Zm00001eb079010,Zm00001eb208140,Zm00001eb381210,Zm00001eb154120,Zm00001eb436030,Zm00001eb093870,Zm00001eb440430,Zm00001eb188660,,,Zm00001eb411110,Zm00001eb218060,Zm00001eb134390,Zm00001eb023170
Zm00001eb034290,Zm00001eb269130,Zm00001eb116290,Zm00001eb208150,Zm00001eb381220,Zm00001eb087060,Zm00001eb212060,Zm00001eb062000,Zm00001eb337620,Zm00001eb407990,,,Zm00001eb123070,Zm00001eb383940,Zm00001eb011300,Zm00001eb181400
Zm00001eb034300,Zm00001eb269140,Zm00001eb116310,Zm00001eb208160,Zm00001eb048530,Zm00001eb087070,Zm00001eb310950,Zm00001eb062080,Zm00001eb285410,Zm00001eb063540,,,Zm00001eb123080,Zm00001eb383910,Zm00001eb134260,Zm00001eb340080
Zm00001eb358110,Zm00001eb269150,Zm00001eb141510,Zm00001eb153830,Zm00001eb048540,Zm00001eb087080,Zm00001eb250500,Zm00001eb174180,Zm00001eb187020,Zm00001eb185660,,,Zm00001eb123090,Zm00001eb384940,Zm00001eb134270,Zm00001eb340090
Zm00001eb358120,Zm00001eb276980,Zm00001eb141520,Zm00001eb153840,Zm00001eb044020,Zm00001eb235580,Zm00001eb232800,Zm00001eb062170,Zm00001eb024380,Zm00001eb260250,,,Zm00001eb099740,Zm00001eb384950,Zm00001eb134280,Zm00001eb131310
Zm00001eb358130,Zm00001eb276990,Zm00001eb141530,Zm00001eb207760,Zm00001eb415930,Zm00001eb235590,Zm00001eb070410,Zm00001eb218080,Zm00001eb377300,Zm00001eb425590,,,Zm00001eb099750,Zm00001eb160850,Zm00001eb389990,Zm00001eb281490
Zm00001eb358140,Zm00001eb277000,Zm00001eb141540,Zm00001eb207770,Zm00001eb415940,Zm00001eb308150,Zm00001eb373900,Zm00001eb404640,Zm00001eb292480,Zm00001eb075130,,,Zm00001eb099760,Zm00001eb160860,Zm00001eb226290,Zm00001eb281500
Zm00001eb358150,Zm00001eb433060,Zm00001eb141550,Zm00001eb207780,Zm00001eb413030,Zm00001eb224910,Zm00001eb335090,Zm00001eb101900,Zm00001eb022740,Zm00001eb230030,,,Zm00001eb099770,Zm00001eb160870,Zm00001eb226300,Zm00001eb281510
Zm00001eb358160,Zm00001eb433080,Zm00001eb023350,Zm00001eb405320,Zm00001eb234900,Zm00001eb088610,Zm00001eb405210,Zm00001eb387550,Zm00001eb406290,Zm00001eb058470,,,Zm00001eb099780,Zm00001eb160880,Zm00001eb226310,Zm00001eb139770
Zm00001eb211890,Zm00001eb433090,Zm00001eb362030,Zm00001eb405330,Zm00001eb234910,Zm00001eb088630,Zm00001eb075490,Zm00001eb050490,Zm00001eb350510,Zm00001eb283440,,,Zm00001eb415380,Zm00001eb160890,Zm00001eb240720,Zm00001eb019180
Zm00001eb211900,Zm00001eb433100,Zm00001eb362040,Zm00001eb405340,Zm00001eb223160,Zm00001eb088640,Zm00001eb290300,Zm00001eb249150,Zm00001eb200870,Zm00001eb330600,,,Zm00001eb415390,Zm00001eb160900,Zm00001eb181430,Zm00001eb019190
Zm00001eb211910,Zm00001eb285450,Zm00001eb362050,Zm00001eb405350,Zm00001eb223170,Zm00001eb088650,Zm00001eb279150,Zm00001eb413290,Zm00001eb430410,Zm00001eb195700,,,Zm00001eb415400,Zm00001eb160910,Zm00001eb133420,Zm00001eb237210
Zm00001eb211920,Zm00001eb285460,Zm00001eb362060,Zm00001eb405360,Zm00001eb223180,Zm00001eb141920,Zm00001eb384400,Zm00001eb269140,Zm00001eb344140,Zm00001eb372790,,,Zm00001eb415410,Zm00001eb160920,Zm00001eb346810,Zm00001eb139760
Zm00001eb211930,Zm00001eb329490,Zm00001eb362070,Zm00001eb405370,Zm00001eb223190,Zm00001eb141930,Zm00001eb205950,Zm00001eb212230,Zm00001eb432160,Zm00001eb127190,,,Zm00001eb150840,Zm00001eb160930,Zm00001eb420250,Zm00001eb131150
Zm00001eb211940,Zm00001eb329500,Zm00001eb362080,Zm00001eb313530,Zm00001eb223200,Zm00001eb141940,Zm00001eb328260,Zm00001eb351660,Zm00001eb187210,Zm00001eb205830,,,Zm00001eb150860,Zm00001eb160940,Zm00001eb420260,Zm00001eb131160
Zm00001eb211950,Zm00001eb329510,Zm00001eb362090,Zm00001eb313540,Zm00001eb192920,Zm00001eb141950,Zm00001eb043970,Zm00001eb426020,Zm00001eb431010,Zm00001eb154580,,,Zm00001eb150880,Zm00001eb160960,Zm00001eb025210,Zm00001eb202430
Zm00001eb211960,Zm00001eb329520,Zm00001eb362110,Zm00001eb167830,Zm00001eb192930,Zm00001eb042890,Zm00001eb057770,Zm00001eb183660,Zm00001eb360520,Zm00001eb088220,,,Zm00001eb150890,Zm00001eb160970,Zm00001eb022780,Zm00001eb202440
Zm00001eb107980,Zm00001eb329530,Zm00001eb362120,Zm00001eb167840,Zm00001eb192940,Zm00001eb042900,Zm00001eb075520,Zm00001eb186280,Zm00001eb106320,Zm00001eb221990,,,Zm00001eb150900,Zm00001eb160980,Zm00001eb228200,Zm00001eb347000
Zm00001eb107990,Zm00001eb195170,Zm00001eb362130,Zm00001eb167850,Zm00001eb087970,Zm00001eb042910,Zm00001eb162530,Zm00001eb342900,Zm00001eb358960,Zm00001eb119830,,,Zm00001eb150910,Zm00001eb160990,Zm00001eb228210,Zm00001eb347010
Zm00001eb108000,Zm00001eb195180,Zm00001eb362140,Zm00001eb302600,Zm00001eb087980,Zm00001eb042920,Zm00001eb212130,Zm00001eb018670,Zm00001eb434170,Zm00001eb418270,,,Zm00001eb150930,Zm00001eb161000,Zm00001eb228220,Zm00001eb175270
Zm00001eb108010,Zm00001eb195190,Zm00001eb362160,Zm00001eb302610,Zm00001eb027940,Zm00001eb042930,Zm00001eb394140,Zm00001eb075830,Zm00001eb286950,Zm00001eb337410,,,Zm00001eb150940,Zm00001eb023620,Zm00001eb391270,Zm00001eb229280
Zm00001eb108020,Zm00001eb195200,Zm00001eb292470,Zm00001eb302620,Zm00001eb027950,Zm00001eb042940,Zm00001eb035950,Zm00001eb140580,Zm00001eb116440,Zm00001eb026430,,,Zm00001eb150950,Zm00001eb245570,Zm00001eb131540,Zm00001eb091930
Zm00001eb108030,Zm00001eb195210,Zm00001eb292480,Zm00001eb302630,Zm00001eb027960,Zm00001eb042960,Zm00001eb396430,Zm00001eb209160,Zm00001eb294540,Zm00001eb153210,,,Zm00001eb150960,Zm00001eb245580,Zm00001eb131510,Zm00001eb174500
Zm00001eb108040,Zm00001eb340350,Zm00001eb230690,Zm00001eb225440,Zm00001eb027970,Zm00001eb042970,Zm00001eb041760,Zm00001eb388980,Zm00001eb405700,Zm00001eb075410,,,Zm00001eb150970,Zm00001eb245590,Zm00001eb416030,Zm00001eb139830
Zm00001eb108050,Zm00001eb340360,Zm00001eb230700,Zm00001eb359770,Zm00001eb026680,Zm00001eb268530,Zm00001eb140970,Zm00001eb195460,Zm00001eb042240,Zm00001eb378150,,,Zm00001eb115970,Zm00001eb245600,Zm00001eb308860,Zm00001eb139840
Zm00001eb108060,Zm00001eb060090,Zm00001eb230710,Zm00001eb359780,Zm00001eb027700,Zm00001eb268540,Zm00001eb146070,Zm00001eb189120,Zm00001eb373920,Zm00001eb113910,,,Zm00001eb115980,Zm00001eb245610,Zm00001eb341620,Zm00001eb139850
Zm00001eb193180,Zm00001eb060100,Zm00001eb289040,Zm00001eb359790,Zm00001eb027720,Zm00001eb268550,Zm00001eb162480,Zm00001eb118900,Zm00001eb220240,Zm00001eb164530,,,Zm00001eb115990,Zm00001eb318710,Zm00001eb145970,Zm00001eb139860
Zm00001eb193190,Zm00001eb060110,Zm00001eb289050,Zm00001eb359800,Zm00001eb105340,Zm00001eb268560,Zm00001eb202990,Zm00001eb386090,Zm00001eb406520,Zm00001eb398530,,,Zm00001eb017680,Zm00001eb318720,Zm00001eb145980,Zm00001eb139870
Zm00001eb193210,Zm00001eb060130,Zm00001eb180990,Zm00001eb126380,Zm00001eb087530,Zm00001eb268570,Zm00001eb145510,Zm00001eb104780,Zm00001eb075460,Zm00001eb142260,,,Zm00001eb017690,Zm00001eb318730,Zm00001eb145990,Zm00001eb139880
Zm00001eb128180,Zm00001eb073820,Zm00001eb119960,Zm00001eb126390,Zm00001eb385230,Zm00001eb234920,Zm00001eb431080,Zm00001eb320280,Zm00001eb361790,Zm00001eb214040,,,Zm00001eb186920,Zm00001eb241410,Zm00001eb383420,Zm00001eb176360
Zm00001eb128190,Zm00001eb073830,Zm00001eb119970,Zm00001eb121020,Zm00001eb385240,Zm00001eb234930,Zm00001eb328210,Zm00001eb274990,Zm00001eb432150,Zm00001eb304160,,,Zm00001eb317170,Zm00001eb241420,Zm00001eb383430,Zm00001eb287870
Zm00001eb128200,Zm00001eb073840,Zm00001eb119980,Zm00001eb121030,Zm00001eb385250,Zm00001eb227040,Zm00001eb309540,Zm00001eb428060,Zm00001eb180650,Zm00001eb286500,,,Zm00001eb317180,Zm00001eb241460,Zm00001eb383440,Zm00001eb287880
Zm00001eb168040,Zm00001eb313980,Zm00001eb119990,Zm00001eb121040,Zm00001eb179870,Zm00001eb227060,Zm00001eb421360,Zm00001eb212400,Zm00001eb267100,Zm00001eb385570,,,Zm00001eb317190,Zm00001eb012780,Zm00001eb385620,Zm00001eb287890
Zm00001eb429210,Zm00001eb314000,Zm00001eb120000,Zm00001eb121050,Zm00001eb179890,Zm00001eb227070,Zm00001eb269710,Zm00001eb345670,Zm00001eb119340,Zm00001eb076390,,,Zm00001eb317200,Zm00001eb029180,Zm00001eb385630,Zm00001eb287900
Zm00001eb429220,Zm00001eb395760,Zm00001eb120010,Zm00001eb121060,Zm00001eb179900,Zm00001eb227080,Zm00001eb169080,Zm00001eb291180,Zm00001eb426560,Zm00001eb250730,,,Zm00001eb317210,Zm00001eb029190,Zm00001eb385640,Zm00001eb287910
Zm00001eb429230,Zm00001eb395770,Zm00001eb120020,Zm00001eb121070,Zm00001eb179910,Zm00001eb016570,Zm00001eb222510,Zm00001eb145800,Zm00001eb332010,Zm00001eb409770,,,Zm00001eb398160,Zm00001eb131670,Zm00001eb380340,Zm00001eb414000
Zm00001eb429240,Zm00001eb395780,Zm00001eb120030,Zm00001eb295590,Zm00001eb179920,Zm00001eb016580,Zm00001eb151450,Zm00001eb369810,Zm00001eb212810,Zm00001eb231810,,,Zm00001eb398170,Zm00001eb131680,Zm00001eb380350,Zm00001eb075030
Zm00001eb429250,Zm00001eb395790,Zm00001eb120040,Zm00001eb295600,Zm00001eb179930,Zm00001eb016590,Zm00001eb283070,Zm00001eb168810,Zm00001eb400380,Zm00001eb150380,,,Zm00001eb398180,Zm00001eb131690,Zm00001eb380360,Zm00001eb075040
Zm00001eb070940,Zm00001eb323760,Zm00001eb120050,Zm00001eb295610,Zm00001eb179940,Zm00001eb016600,Zm00001eb125400,Zm00001eb373370,Zm00001eb064670,Zm00001eb277200,,,Zm00001eb398190,Zm00001eb131700,Zm00001eb174540,Zm00001eb075050
Zm00001eb070950,Zm00001eb008370,Zm00001eb120060,Zm00001eb107470,Zm00001eb231370,Zm00001eb174630,Zm00001eb048120,Zm00001eb021350,Zm00001eb291970,Zm00001eb104960,,,Zm00001eb147380,Zm00001eb131710,Zm00001eb174550,Zm00001eb405840
